location,sex,cause,year,death_count,death rate(per 100k),prevelance rate(per 100k),population,life_exp,lethality
Low SDI,Both,Skin and subcutaneous diseases,1991,6682.925692825798,1.3019127009764928,27140.96713195348,513315961.0328173,53.19773153598729,0.004796854491761021
Low SDI,Both,Transport injuries,1991,129737.93253099454,25.2744785628632,964.48579664796,513315961.0328173,53.19773153598729,2.620513298454353
Low SDI,Both,HIV/AIDS and sexually transmitted infections,1991,246840.1345923076,48.08736788461687,17361.43855059533,513315961.0328173,53.19773153598729,0.2769780150675817
Low SDI,Both,Respiratory infections and tuberculosis,1991,1242490.0027568664,242.05169857896377,38166.96405204899,513315961.0328173,53.19773153598729,0.6341916486961693
Low SDI,Both,Enteric infections,1991,989091.7796931536,192.6867377556414,2446.78020712392,513315961.0328173,53.19773153598729,7.875114290798354
Low SDI,Both,Other infectious diseases,1991,777193.6143063743,151.40647735609522,3771.05409502431,513315961.0328173,53.19773153598729,4.014964345270661
Low SDI,Both,Maternal and neonatal disorders,1991,874269.0318555321,170.31791298607968,2847.52682145075,513315961.0328173,53.19773153598729,5.981257549641151
Low SDI,Both,Unintentional injuries,1991,243396.05197540196,47.41641999319037,7047.81374723055,513315961.0328173,53.19773153598729,0.6727819674835012
Low SDI,Both,Self-harm and interpersonal violence,1991,118838.92530468007,23.15122348145382,5136.7945614010205,513315961.0328173,53.19773153598729,0.45069397276303574
Low SDI,Both,Substance use disorders,1991,6334.615081406903,1.2340576881072116,1268.06073869997,513315961.0328173,53.19773153598729,0.09731849985138577
Low SDI,Both,Diabetes and kidney diseases,1991,141674.05871413922,27.59977664226216,5804.64525193185,513315961.0328173,53.19773153598729,0.4754774054982369
Low SDI,Both,Cardiovascular diseases,1990,688215.5913770193,137.28601497127997,3925.6723436518896,501300581.5056931,53.05092282551831,3.497133814371489
Low SDI,Both,Skin and subcutaneous diseases,1990,6532.615771477118,1.3031334916580248,27015.92167432161,501300581.5056931,53.05092282551831,0.004823575917073529
Low SDI,Both,Transport injuries,1990,126533.08997195946,25.24096213730854,974.03087740648,501300581.5056931,53.05092282551831,2.591392400671816
Low SDI,Both,Neoplasms,1990,241051.0103154454,48.08512481502237,435.07975480239,501300581.5056931,53.05092282551831,11.052025354951823
Low SDI,Both,Musculoskeletal disorders,1990,2709.371331707507,0.5404684198788892,10568.80443612418,501300581.5056931,53.05092282551831,0.0051138085026114005
Low SDI,Both,Other non-communicable diseases,1990,257171.87090016177,51.30093209302223,71197.22813566538,501300581.5056931,53.05092282551831,0.07205467605461968
Low SDI,Both,HIV/AIDS and sexually transmitted infections,1990,205216.5260417348,40.9368218615171,17154.231397552,501300581.5056931,53.05092282551831,0.23863979045635939
Low SDI,Both,Respiratory infections and tuberculosis,1990,1234261.994386079,246.21196143018264,38157.64181437945,501300581.5056931,53.05092282551831,0.6452494172147696
Low SDI,Both,Enteric infections,1990,971622.9694558036,193.8204353438937,2469.57290485431,501300581.5056931,53.05092282551831,7.848338267840202
Low SDI,Both,Other infectious diseases,1990,776578.9299480047,154.91283245981734,3787.21247933088,501300581.5056931,53.05092282551831,4.090418303838795
Low SDI,Both,Maternal and neonatal disorders,1990,864582.2067874089,172.4678244319153,2862.34527015914,501300581.5056931,53.05092282551831,6.025402533717621
Low SDI,Both,Substance use disorders,1990,6179.31519248578,1.232656697489908,1271.20825302962,501300581.5056931,53.05092282551831,0.09696732966861775
Low SDI,Both,Diabetes and kidney diseases,1990,138123.15453155423,27.55296116287977,5775.7757756901,501300581.5056931,53.05092282551831,0.4770434697075424
Low SDI,Both,Neglected tropical diseases and malaria,1990,560541.05115866,111.81735506370909,71898.24244844294,501300581.5056931,53.05092282551831,0.1555216807196525
Low SDI,Both,Chronic respiratory diseases,1990,204232.2936047476,40.740486075504,6790.2019061088295,501300581.5056931,53.05092282551831,0.5999893175319525
Low SDI,Both,Digestive diseases,1990,211613.80510426723,42.21295823529064,25691.227217969543,501300581.5056931,53.05092282551831,0.16430884315936878
Low SDI,Both,Unintentional injuries,1990,238288.51689091252,47.534059540724165,7085.31860124068,501300581.5056931,53.05092282551831,0.6708810459476117
Low SDI,Both,Self-harm and interpersonal violence,1990,149456.28688967452,29.813707065882816,5143.40507546392,501300581.5056931,53.05092282551831,0.5796492134773908
Low SDI,Both,Nutritional deficiencies,1990,207305.05175582416,41.35344330404887,64124.93096526492,501300581.5056931,53.05092282551831,0.06448886990061499
Low SDI,Both,Cardiovascular diseases,1991,701536.802858618,136.667638669776,3920.24485817652,513315961.0328173,53.19773153598729,3.4862015923501826
Low SDI,Both,Neglected tropical diseases and malaria,1991,566919.2166717314,110.44254605507716,71769.15471777183,513315961.0328173,53.19773153598729,0.15388581137591248
Low SDI,Both,Chronic respiratory diseases,1991,208633.18424456948,40.64420358657642,6666.71803342415,513315961.0328173,53.19773153598729,0.6096583563727053
Low SDI,Both,Digestive diseases,1991,215863.985709317,42.05284894609313,25685.415336217426,513315961.0328173,53.19773153598729,0.16372267450469058
Low SDI,Both,Neurological disorders,1990,48424.81155201167,9.659835503594309,27533.458432936608,501300581.5056931,53.05092282551831,0.03508398891161029
Low SDI,Both,Mental disorders,1990,0.0139914644061173,2.7910329495515405e-06,11506.07013255522,501300581.5056931,53.05092282551831,2.425704795292882e-08
Low SDI,Both,Neoplasms,1991,246440.53131258715,48.00952045534225,434.89568609428994,513315961.0328173,53.19773153598729,11.039318620634301
Low SDI,Both,Musculoskeletal disorders,1991,2790.315882482128,0.5435864251849634,10580.36778919183,513315961.0328173,53.19773153598729,0.00513768931303365
Low SDI,Both,Other non-communicable diseases,1991,259385.516370979,50.53135613571853,71366.37099873822,513315961.0328173,53.19773153598729,0.07080555649468563
Low SDI,Both,Cardiovascular diseases,1992,716009.7671998597,136.02965683425256,3911.40970619699,526362988.677015,53.40246158894429,3.4777654874337447
Low SDI,Both,Cardiovascular diseases,1994,753766.0229230078,136.01793864227784,3886.33719039204,554166627.1721594,51.652831376882574,3.499900599941428
Low SDI,Both,Skin and subcutaneous diseases,1992,6840.288015223257,1.2995381822753067,27236.560349918032,526362988.677015,53.40246158894429,0.0047713006546335705
Low SDI,Both,Transport injuries,1992,133525.52516276838,25.367574855211156,955.89735410147,526362988.677015,53.40246158894429,2.6537969528178387
Low SDI,Both,Nutritional deficiencies,1991,208890.50264480445,40.69433224412239,63725.546971341726,513315961.0328173,53.19773153598729,0.06385874139679525
Low SDI,Both,Neurological disorders,1991,49762.51480524052,9.694324467354544,27558.01874194798,513315961.0328173,53.19773153598729,0.035177871668249275
Low SDI,Both,Mental disorders,1991,0.0152893047534756,2.978536791007398e-06,11523.8740779556,513315961.0328173,53.19773153598729,2.5846662076125423e-08
Low SDI,Both,Skin and subcutaneous diseases,1994,7133.207267853736,1.2871953881910156,27292.87861257057,554166627.1721594,51.652831376882574,0.004716231682495222
Low SDI,Both,Transport injuries,1994,138070.61680522075,24.91500029689216,941.93031756242,554166627.1721594,51.652831376882574,2.6451001557491636
Low SDI,Both,Neglected tropical diseases and malaria,1992,571410.3696053287,108.55823488682915,71579.24428912516,526362988.677015,53.40246158894429,0.15166161079926646
Low SDI,Both,Chronic respiratory diseases,1992,212886.7881727728,40.44486271875846,6543.94173104733,526362988.677015,53.40246158894429,0.6180504714287154
Low SDI,Both,Neoplasms,1992,251874.05016227908,47.85177825579093,434.13881966773,526362988.677015,53.40246158894429,11.022229777197648
Low SDI,Both,Digestive diseases,1992,220245.5473515153,41.84290158870979,25674.13583341573,526362988.677015,53.40246158894429,0.1629768645776575
Low SDI,Both,Unintentional injuries,1992,246081.2211732436,46.75123944252914,7008.0731214364505,526362988.677015,53.40246158894429,0.6671054743924604
Low SDI,Both,Self-harm and interpersonal violence,1992,94732.9023889098,17.99763745300857,5090.31622342679,526362988.677015,53.40246158894429,0.35356619634315367
Low SDI,Both,Musculoskeletal disorders,1992,2876.4261425263594,0.5464719603017875,10580.866419357671,526362988.677015,53.40246158894429,0.005164718451619597
Low SDI,Both,Other non-communicable diseases,1992,262808.0229369151,49.92904679667328,71509.06546822707,526362988.677015,53.40246158894429,0.0698219819679475
Low SDI,Both,Neglected tropical diseases and malaria,1994,583573.6363779674,105.30652835517492,71000.62450523488,554166627.1721594,51.652831376882574,0.14831774944093717
Low SDI,Both,Chronic respiratory diseases,1994,227482.90805712712,41.04955024411032,6312.1319243853295,554166627.1721594,51.652831376882574,0.6503278248277058
Low SDI,Both,Neoplasms,1994,264205.4397384225,47.67617297465717,431.89699285783,554166627.1721594,51.652831376882574,11.038783266164348
Low SDI,Both,HIV/AIDS and sexually transmitted infections,1992,292381.2686292263,55.54745962745424,17545.535614274628,526362988.677015,53.40246158894429,0.31659027600309997
Low SDI,Both,Respiratory infections and tuberculosis,1992,1254206.3511777231,238.27783832790053,38122.53663073417,526362988.677015,53.40246158894429,0.6250314364857933
Low SDI,Both,Enteric infections,1992,986884.9944976948,187.491335015438,2422.8370851843097,526362988.677015,53.40246158894429,7.738503598196954
Low SDI,Both,Other infectious diseases,1992,770500.2492154255,146.3819200419156,3753.78258846422,526362988.677015,53.40246158894429,3.8995843949983433
Low SDI,Both,Maternal and neonatal disorders,1992,885603.1025519009,168.2495011242748,2836.62607776644,526362988.677015,53.40246158894429,5.931324626922787
Low SDI,Both,Substance use disorders,1992,6497.783278100348,1.2344681176068577,1264.74621978942,526362988.677015,53.40246158894429,0.09760599385799283
Low SDI,Both,Diabetes and kidney diseases,1992,145488.089752383,27.64025831642523,5830.4193354146,526362988.677015,53.40246158894429,0.4740698177322393
Low SDI,Both,Digestive diseases,1994,230433.99566961607,41.58207737003054,25658.336527597447,554166627.1721594,51.652831376882574,0.1620606905880509
Low SDI,Both,Unintentional injuries,1994,256907.05694311616,46.359171474124985,6936.37911998483,554166627.1721594,51.652831376882574,0.6683482934281477
Low SDI,Both,Self-harm and interpersonal violence,1994,642134.8751775952,115.87397069620113,5330.92622825099,554166627.1721594,51.652831376882574,2.1736179743424797
Low SDI,Both,Cardiovascular diseases,1997,794573.9377312954,132.430809205441,3849.34252835053,599991756.0714033,53.95151847864378,3.4403487928154974
Low SDI,Both,Musculoskeletal disorders,1994,3123.0911684386106,0.5635653637923566,10561.15455623473,554166627.1721594,51.652831376882574,0.00533620979402918
Low SDI,Both,Other non-communicable diseases,1994,271429.65617773304,48.979791071649984,71732.24647638918,554166627.1721594,51.652831376882574,0.06828141244366547
Low SDI,Both,HIV/AIDS and sexually transmitted infections,1994,387031.9455998064,69.8403560630817,17782.914364167173,554166627.1721594,51.652831376882574,0.39273852773992446
Low SDI,Both,Respiratory infections and tuberculosis,1994,1273280.5368910783,229.76492528762748,37863.32609091453,554166627.1721594,51.652831376882574,0.6068271042431229
Low SDI,Both,Enteric infections,1994,1010970.3942076692,182.4307608284751,2376.46874543359,554166627.1721594,51.652831376882574,7.676547868724036
Low SDI,Both,Other infectious diseases,1994,773539.1976625016,139.58603057888422,3726.06165334794,554166627.1721594,51.652831376882574,3.746208290822655
Low SDI,Both,Maternal and neonatal disorders,1994,912996.0808253756,164.7511842213015,2828.061391911,554166627.1721594,51.652831376882574,5.825587262445335
Low SDI,Both,Substance use disorders,1994,6901.623117475107,1.2454057640917844,1254.44332100267,554166627.1721594,51.652831376882574,0.09927955637695438
Low SDI,Both,Diabetes and kidney diseases,1994,154106.32971787773,27.808662983597912,5872.34428336748,554166627.1721594,51.652831376882574,0.47355300782281634
Low SDI,Both,Neoplasms,1997,278420.6475879269,46.40407885117554,428.1140164553,599991756.0714033,53.95151847864378,10.839187008029358
Low SDI,Both,Musculoskeletal disorders,1997,3333.160626617092,0.5555344040794493,10450.99993232583,599991756.0714033,53.95151847864378,0.00531561006292933
Low SDI,Both,Other non-communicable diseases,1997,279473.4767850064,46.5795527950133,71816.3805261954,599991756.0714033,53.95151847864378,0.064859231910223
Low SDI,Both,HIV/AIDS and sexually transmitted infections,1997,510378.3816138461,85.06423237473743,17873.407510681518,599991756.0714033,53.95151847864378,0.47592621789606315
Low SDI,Both,Respiratory infections and tuberculosis,1997,1274556.3781447243,212.42898177304968,37000.8273403331,599991756.0714033,53.95151847864378,0.5741195455418627
Low SDI,Both,Enteric infections,1997,989522.6111061572,164.92270120264735,2317.89746311225,599991756.0714033,53.95151847864378,7.115185370676621
Low SDI,Both,Other infectious diseases,1997,781629.2669531999,130.2733344323117,3681.17660917687,599991756.0714033,53.95151847864378,3.538904765056668
Low SDI,Both,Maternal and neonatal disorders,1997,945395.5779612074,157.56809462706974,2825.32891162632,599991756.0714033,53.95151847864378,5.576982346326897
Low SDI,Both,Cardiovascular diseases,1995,770036.4016233254,135.54295332763976,3871.19329612896,568112456.3974663,53.55226504805342,3.501322278667339
